A	N	E	M	U	L	B	J	S	O 
68.25999606	64.25211739	100.5489462	40.10695292	27.77368525	64.23931456	8.517234587	1	1	1 
59.53850699	53.76324601	87.52747686	30.22789049	16.34094938	56.77979122	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	3.576796715	20.82813142	24.22258727	51.19034908	1	60.28809035	60.28809035	76.30492813	68.45646817 
3.576796715	1	1	17.33244353	33.49774127	11.34147844	49.55215606	49.55215606	69.31252567	59.40205339 
20.82813142	1	1	26.95770021	57.12320329	64.02361396	61.76570842	61.76570842	96.62915811	84.15790554 
24.22258727	17.33244353	26.95770021	1	21.8063655	20.51765914	29.01827515	29.01827515	46.51786448	37.70924025 
51.19034908	33.49774127	57.12320329	21.8063655	1	48.17227926	4.247433265	4.247433265	28.0073922	16.4761807 
1	11.34147844	64.02361396	20.51765914	48.17227926	1	56.87494867	56.87494867	73.60349076	65.36755647 
60.28809035	49.55215606	61.76570842	29.01827515	4.247433265	56.87494867	1	1	8.015195072	1 
60.28809035	49.55215606	61.76570842	29.01827515	4.247433265	56.87494867	1	1	1	1 
76.30492813	69.31252567	96.62915811	46.51786448	28.0073922	73.60349076	8.015195072	1	1	1 
68.45646817	59.40205339	84.15790554	37.70924025	16.4761807	65.36755647	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	4.991671193	8.994115517	18.02127467	26.75764983	3.016295492	25.9400688	25.9400688	34.51294586	34.51294586 
4.991671193	1	16.82554771	12.13688213	19.39815318	6.689208763	19.10447221	19.10447221	27.43780554	27.43780554 
8.994115517	16.82554771	1	10.19545537	21.93572334	29.02616332	33.30409198	33.30409198	41.91100851	41.91100851 
18.02127467	12.13688213	10.19545537	1	9.799655984	22.14050335	20.73999638	20.73999638	29.3418432	29.3418432 
26.75764983	19.39815318	21.93572334	9.799655984	1	26.87561108	1	1	8.741716458	8.741716458 
3.016295492	6.689208763	29.02616332	22.14050335	26.87561108	1	22.01973565	22.01973565	30.68078943	30.68078943 
25.9400688	19.10447221	33.30409198	20.73999638	1	22.01973565	1	1	1	1 
25.9400688	19.10447221	33.30409198	20.73999638	1	22.01973565	1	1	1	1 
34.51294586	27.43780554	41.91100851	29.3418432	8.741716458	30.68078943	1	1	1	1 
34.51294586	27.43780554	41.91100851	29.3418432	8.741716458	30.68078943	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	32.74311927	50.77217125	101.7823649	149.295107	16.77013252	152.0005097	152.0005097	200.2752294	200.2752294 
32.74311927	1	84.16768603	67.72579001	101.7278287	41.83078491	110.5366972	110.5366972	157.459735	157.459735 
50.77217125	84.16768603	1	27.26860347	97.75586137	156.7594292	180.4143731	180.4143731	226.9892966	226.9892966 
101.7823649	67.72579001	27.26860347	1	51.57237513	133.4449541	134.4439348	134.4439348	181.883792	181.883792 
149.295107	101.7278287	97.75586137	51.57237513	1	150.1641182	1	1	51.36289501	50.63404689 
16.77013252	41.83078491	156.7594292	133.4449541	150.1641182	1	131.9525994	131.9525994	182.4765545	182.4765545 
152.0005097	110.5366972	180.4143731	134.4439348	1	131.9525994	1	1	1	1 
152.0005097	110.5366972	180.4143731	134.4439348	1	131.9525994	1	1	1	1 
200.2752294	157.459735	226.9892966	181.883792	51.36289501	182.4765545	1	1	1	1 
200.2752294	157.459735	226.9892966	181.883792	50.63404689	182.4765545	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	15.36123348	36.03928047	21.80396476	30.12187959	1	43.9849486	31.24375918	79.76982379	71.01358297 
15.36123348	1	1	6.097283407	21.09030837	34.29992658	51.33076358	51.53414097	99.14023495	81.88325991 
36.03928047	1	1	54.89537445	79.32892805	77.59948605	109.048091	105.5146843	157.037812	132.2213656 
21.80396476	6.097283407	54.89537445	1	3.059838473	15.7701909	34.10829662	29.96218796	78.09251101	61.35022026 
30.12187959	21.09030837	79.32892805	3.059838473	1	11.55800294	5.559838473	13.05396476	54.09471366	36.00770925 
1	34.29992658	77.59948605	15.7701909	11.55800294	1	17.77092511	5.925477239	54.13215859	45.02386197 
43.9849486	51.33076358	109.048091	34.10829662	5.559838473	17.77092511	1	2.388032305	8.046255507	1 
31.24375918	51.53414097	105.5146843	29.96218796	13.05396476	5.925477239	2.388032305	1	8.031938326	1.726872247 
79.76982379	99.14023495	157.037812	78.09251101	54.09471366	54.13215859	8.046255507	8.031938326	1	1 
71.01358297	81.88325991	132.2213656	61.35022026	36.00770925	45.02386197	1	1.726872247	1	1 

A	N	E	M	U	L	B	J	S	O 
0	5.625453415	9.406259716	23.55145611	33.79127371	2.030469479	31.63509172	31.63509172	44.5948803	45.14633641 
5.625453415	1	17.32511141	17.1366981	25.44781843	9.341278889	23.67177946	23.67177946	37.26738522	37.10488133 
9.406259716	17.32511141	1	28.24448129	45.09420665	32.55207794	47.90931703	47.90931703	61.44046015	60.74992227 
23.55145611	17.1366981	28.24448129	1	20.28096176	30.10840502	26.3327806	26.3327806	41.67924137	37.76391336 
33.79127371	25.44781843	45.09420665	20.28096176	1	36.04974609	1	1	15.7252565	12.19204063 
2.030469479	9.341278889	32.55207794	30.10840502	36.04974609	1	29.60462224	29.60462224	41.57964556	42.26344699 
31.63509172	23.67177946	47.90931703	26.3327806	1	29.60462224	1	1	1	1 
31.63509172	23.67177946	47.90931703	26.3327806	1	29.60462224	1	1	1	1 
44.5948803	37.26738522	61.44046015	41.67924137	15.7252565	41.57964556	1	1	1	1 
45.14633641	37.10488133	60.74992227	37.76391336	12.19204063	42.26344699	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	8.442489671	11.72797548	34.89151006	45.08250033	2.579368253	41.90950287	41.90950287	58.95468479	59.33120085 
8.442489671	1	22.4963348	25.16313475	33.22031188	13.13314674	31.06863921	31.06863921	48.64894042	48.33786485 
11.72797548	22.4963348	1	41.82660269	59.64320938	41.53831801	62.59522858	62.59522858	80.07743569	79.20591763 
34.89151006	25.16313475	41.82660269	1	25.48673864	42.37518326	32.87698254	32.87698254	53.15433826	46.96628015 
45.08250033	33.22031188	59.64320938	25.48673864	1	48.01959216	1	1	20.04731441	15.52259096 
2.579368253	13.13314674	41.53831801	42.37518326	48.01959216	1	39.61068906	39.61068906	55.11995202	56.18219379 
41.90950287	31.06863921	62.59522858	32.87698254	1	39.61068906	1	1	1	1 
41.90950287	31.06863921	62.59522858	32.87698254	1	39.61068906	1	1	1	1 
58.95468479	48.64894042	80.07743569	53.15433826	20.04731441	55.11995202	1	1	1	1 
59.33120085	48.33786485	79.20591763	46.96628015	15.52259096	56.18219379	1	1	1	1 

A	N	E	M	U	L	B	J	S	O 
0	1	0.00000001	4.13779465	4.13779465	1	4.814140034	4.814140034	6.386889256	6.789090794 
1	1	0.00000001	3.023857933	3.023857933	1	3.58410636	3.58410636	5.127771777	5.525668721 
0.00000001	0.00000001	1	0.00000001	0.00000001	0.00000001	0.00000001	0.00000001	0.00000001	0.00000001 
4.13779465	3.023857933	0.00000001	1	1	4.13779465	1.155013025	1.155013025	2.957414702	2.754685812 
4.13779465	3.023857933	0.00000001	1	1	4.13779465	1.155013025	1.155013025	2.957414702	2.754685812 
1	1	0.00000001	4.13779465	4.13779465	1	4.814140034	4.814140034	6.386889256	6.789090794 
4.814140034	3.58410636	0.00000001	1.155013025	1.155013025	4.814140034	1	1	1	1 
4.814140034	3.58410636	0.00000001	1.155013025	1.155013025	4.814140034	1	1	1	1 
6.386889256	5.127771777	0.00000001	2.957414702	2.957414702	6.386889256	1	1	1	1 
6.789090794	5.525668721	0.00000001	2.754685812	2.754685812	6.789090794	1	1	1	1 

END
